RANK,PLAYER,TEAM,AGE,GP,MIN,PTS,FG%,3P%,FT%,REB,AST,STL,BLK
1,James Harden,HOU,28,72,35.4,30.4,44.9,36.7,85.8,5.4,8.8,1.8,0.7
2,Anthony Davis,NOP,25,75,36.4,28.1,53.4,34.0,82.8,11.1,2.3,1.5,2.6
3,LeBron James,CLE,33,82,36.9,27.5,54.2,36.7,73.1,8.6,9.1,1.4,0.9
4,Damian Lillard,POR,27,73,36.6,26.9,43.9,36.1,91.6,4.5,6.6,1.1,0.4
5,Giannis Antetokounmpo,MIL,23,75,36.7,26.9,52.9,30.7,76.0,10.0,4.8,1.5,1.4
6,Stephen Curry,GSW,30,51,32.0,26.4,49.5,42.3,92.1,5.1,6.1,1.6,0.2
7,Kevin Durant,GSW,29,68,34.2,26.4,51.6,41.9,88.9,6.8,5.4,0.7,1.8
8,Russell Westbrook,OKC,29,80,36.4,25.4,44.9,29.8,73.7,10.1,10.3,1.8,0.3
9,DeMarcus Cousins,NOP,27,48,36.2,25.2,47.0,35.4,74.6,12.9,5.4,1.6,1.6
10,Devin Booker,PHX,21,54,34.5,24.9,43.2,38.3,87.8,4.5,4.7,0.9,0.3
11,Kyrie Irving,BOS,26,60,32.2,24.4,49.1,40.8,88.9,3.8,5.1,1.1,0.3
12,LaMarcus Aldridge,SAS,32,75,33.4,23.1,51.0,29.3,83.7,8.5,2.0,0.6,1.2
12,Victor Oladipo,IND,26,75,34.0,23.1,47.7,37.1,79.9,5.2,4.3,2.4,0.8
14,DeMar DeRozan,TOR,28,80,33.9,23.0,45.6,31.0,82.5,3.9,5.2,1.1,0.3
15,Joel Embiid,PHI,24,63,30.4,22.9,48.3,30.8,76.9,11.0,3.2,0.6,1.8
16,Kristaps Porzingis,NYK,22,48,32.4,22.7,43.9,39.5,79.3,6.6,1.2,0.8,2.4
17,Bradley Beal,WAS,25,82,36.3,22.6,46.0,37.5,79.1,4.4,4.5,1.2,0.4
18,Lou Williams,LAC,31,79,32.8,22.6,43.5,35.9,88.0,2.5,5.3,1.1,0.2
19,Jimmy Butler,MIN,28,59,36.7,22.2,47.4,35.0,85.4,5.3,4.9,2.0,0.4
20,Kemba Walker,CHA,28,80,34.2,22.1,43.1,38.4,86.4,3.1,5.6,1.1,0.3
21,Paul George,OKC,28,79,36.6,21.9,43.0,40.1,82.2,5.7,3.3,2.0,0.5
22,Blake Griffin,DET,29,58,34.0,21.4,43.8,34.5,78.5,7.4,5.8,0.7,0.3
23,CJ McCollum,POR,26,81,36.1,21.4,44.3,39.7,83.6,4.0,3.4,1.0,0.4
24,Karl-Anthony Towns,MIN,22,82,35.6,21.3,54.5,42.1,85.8,12.3,2.4,0.8,1.4
25,Donovan Mitchell,UTA,21,79,33.4,20.5,43.7,34.0,80.5,3.7,3.7,1.5,0.3
26,Khris Middleton,MIL,26,82,36.4,20.1,46.6,35.9,88.4,5.2,4.0,1.5,0.3
27,MarShon Brooks,MEM,29,7,27.5,20.1,50.0,59.4,87.0,3.0,3.6,1.6,0.4
28,Klay Thompson,GSW,28,73,34.3,20.0,48.9,44.0,83.7,3.8,2.5,0.8,0.5
29,T.J. Warren,PHX,24,65,33.0,19.6,49.8,22.2,75.7,5.1,1.3,1.0,0.6
30,John Wall,WAS,27,41,34.4,19.4,42.0,37.1,72.6,3.7,9.6,1.4,1.1
31,Tyreke Evans,MEM,28,52,30.9,19.4,45.2,39.9,78.5,5.1,5.2,1.1,0.3
32,Dennis Schroder,ATL,24,67,31.0,19.4,43.6,29.0,84.9,3.1,6.2,1.1,0.1
33,Jrue Holiday,NOP,28,81,36.1,19.0,49.4,33.7,78.6,4.5,6.0,1.5,0.8
34,Harrison Barnes,DAL,26,77,34.2,18.9,44.5,35.7,82.7,6.1,2.0,0.6,0.2
35,Chris Paul,HOU,33,58,31.8,18.6,46.0,38.0,91.9,5.4,7.9,1.7,0.2
36,Tobias Harris,LAC,25,80,33.3,18.6,46.0,41.1,82.9,5.5,2.4,0.9,0.4
37,Nikola Jokic,DEN,23,75,32.6,18.5,49.9,39.6,85.0,10.7,6.1,1.2,0.8
38,Eric Gordon,HOU,29,69,31.2,18.0,42.8,35.9,80.9,2.5,2.2,0.6,0.4
39,Jeremy Lin,BKN,29,1,25.2,18.0,41.7,50.0,100,0.0,4.0,0.0,0.0
40,Evan Fournier,ORL,25,57,32.2,17.8,45.9,37.9,86.7,3.2,2.9,0.8,0.3
41,Eric Bledsoe,MIL,28,74,31.4,17.7,47.3,34.7,79.5,3.8,5.0,2.0,0.6
42,Andrew Wiggins,MIN,23,82,36.3,17.7,43.8,33.1,64.3,4.4,2.0,1.1,0.6
43,Aaron Gordon,ORL,22,58,32.9,17.6,43.4,33.6,69.8,7.9,2.3,1.0,0.8
44,Kevin Love,CLE,29,59,28.0,17.6,45.8,41.5,88.0,9.3,1.7,0.7,0.4
45,Tim Hardaway Jr.,NYK,26,57,33.1,17.5,42.1,31.7,81.6,3.9,2.7,1.1,0.2
46,Gary Harris,DEN,23,67,34.4,17.5,48.5,39.6,82.7,2.6,2.9,1.8,0.2
47,Goran Dragic,MIA,32,75,31.7,17.3,45.0,37.0,80.1,4.1,4.8,0.8,0.2
48,Marc Gasol,MEM,33,73,33.0,17.2,42.0,34.1,83.4,8.1,4.2,0.7,1.4
49,JJ Redick,PHI,34,70,30.2,17.1,46.0,42.0,90.4,2.5,3.0,0.5,0.1
50,Mike Conley,MEM,30,12,31.1,17.1,38.1,31.2,80.3,2.3,4.1,1.0,0.3